Transaction_ID,Service_Date,Client_ID,Dog_ID,Service_ID,Campaign_ID,Revenue,Estimated_Cost,Gross_Profit,Discount_Rate,Trainer_Hours,Travel_Miles,Satisfaction_Rating,Training_Outcome,Payment_Status,Follow_Up_Required
T00001,2025-07-20,C0001,D0001,S012,M004,60.0,18.9,41.1,0.0,1.12,3.5,5,Excellent Progress,Paid,Yes
T00002,2026-05-17,C0001,D0001,S013,M004,125.0,41.63,83.37,0.0,12.25,8.0,5,Excellent Progress,Paid,No
T00003,2026-04-17,C0001,D0001,S007,M004,40.5,18.7,21.8,0.1,0.65,2.4,5,Moderate Progress,Paid,Yes
T00004,2025-10-31,C0001,D0001,S004,M004,27.0,12.74,14.26,0.1,0.68,7.8,5,Moderate Progress,Paid,No
T00005,2026-05-06,C0001,D0001,S004,M004,30.0,12.59,17.41,0.0,0.81,1.7,5,Moderate Progress,Paid,No
T00006,2025-05-21,C0002,D0002,S007,M008,40.5,13.63,26.87,0.1,0.59,17.1,5,Excellent Progress,Paid,No
T00007,2026-05-10,C0002,D0002,S005,M008,42.75,17.29,25.46,0.05,0.9,16.8,5,Completed Goals,Pending,No
T00008,2025-04-16,C0002,D0002,S013,M008,125.0,44.54,80.46,0.0,12.06,21.2,5,Moderate Progress,Paid,No
T00009,2025-11-21,C0002,D0002,S004,M008,30.0,14.92,15.08,0.0,0.74,18.5,5,Moderate Progress,Paid,No
T00010,2025-07-05,C0002,D0002,S011,M008,28.5,12.03,16.47,0.05,0.55,17.2,5,Completed Goals,Paid,Yes
T00011,2026-01-24,C0003,D0003,S006,M008,60.0,16.98,43.02,0.0,1.16,2.0,5,Completed Goals,Paid,No
T00012,2026-05-28,C0003,D0003,S007,M008,45.0,16.85,28.15,0.0,0.57,1.0,5,Completed Goals,Paid,No
T00013,2026-02-27,C0003,D0003,S004,M008,30.0,11.18,18.82,0.0,0.9,3.0,5,Excellent Progress,Paid,No
T00014,2026-05-17,C0003,D0003,S006,M008,60.0,16.79,43.21,0.0,1.34,7.2,5,Completed Goals,Paid,Yes
T00015,2026-02-23,C0003,D0003,S001,M008,125.0,41.29,83.71,0.0,1.21,1.0,5,Completed Goals,Pending,No
T00016,2026-03-21,C0003,D0003,S008,M008,80.75,22.02,58.73,0.05,1.13,1.0,5,Excellent Progress,Paid,Yes
T00017,2026-04-16,C0003,D0003,S001,M008,125.0,40.36,84.64,0.0,1.39,5.2,5,Excellent Progress,Paid,No
T00018,2026-05-20,C0003,D0003,S005,M008,40.5,18.95,21.55,0.1,0.94,1.0,5,Needs Follow-Up,Paid,Yes
T00019,2026-01-27,C0004,D0004,S007,,45.0,13.09,31.91,0.0,0.62,11.0,5,Moderate Progress,Paid,No
T00020,2025-03-13,C0004,D0004,S003,,607.5,180.24,427.26,0.1,1.26,9.6,5,Completed Goals,Paid,No
T00021,2025-08-14,C0004,D0004,S003,,675.0,183.53,491.47,0.0,1.15,10.5,5,Moderate Progress,Pending,No
T00022,2025-09-03,C0004,D0005,S011,M005,30.0,10.65,19.35,0.0,0.69,6.2,5,Excellent Progress,Paid,Yes
T00023,2025-12-22,C0004,D0005,S001,,112.5,37.23,75.27,0.1,1.2,5.2,5,Excellent Progress,Paid,Yes
T00024,2026-04-26,C0005,D0006,S004,,28.5,11.94,16.56,0.05,0.89,8.4,5,Completed Goals,Paid,No
T00025,2026-05-24,C0005,D0006,S008,,76.5,27.07,49.43,0.1,1.12,6.1,5,Excellent Progress,Paid,No
T00026,2026-04-11,C0005,D0006,S011,,28.5,13.35,15.15,0.05,0.66,11.2,5,Completed Goals,Paid,Yes
T00027,2026-04-25,C0005,D0006,S013,,118.75,44.41,74.34,0.05,12.24,10.2,5,Excellent Progress,Paid,No
T00028,2026-04-01,C0005,D0006,S004,,27.0,14.87,12.13,0.1,0.71,10.7,5,Moderate Progress,Paid,No
T00029,2026-02-23,C0005,D0006,S007,,45.0,18.54,26.46,0.0,0.75,7.3,5,Completed Goals,Paid,No
T00030,2026-04-19,C0005,D0006,S006,,60.0,19.42,40.58,0.0,1.3,9.9,5,Excellent Progress,Paid,No
T00031,2026-04-05,C0005,D0006,S001,,125.0,41.42,83.58,0.0,1.24,9.1,5,Completed Goals,Paid,No
T00032,2026-01-26,C0005,D0006,S001,,125.0,40.9,84.1,0.0,1.13,9.6,5,Completed Goals,Paid,Yes
T00033,2026-04-21,C0005,D0006,S008,,76.5,25.73,50.77,0.1,1.19,4.1,5,Excellent Progress,Paid,No
T00034,2026-04-25,C0005,D0006,S006,,54.0,16.67,37.33,0.1,1.1,5.5,5,Excellent Progress,Paid,Yes
T00035,2026-05-28,C0005,D0006,S001,,118.75,38.96,79.79,0.05,1.4,5.8,5,Moderate Progress,Paid,Yes
T00036,2026-02-24,C0006,D0007,S005,,45.0,12.58,32.42,0.0,1.1,19.7,5,Completed Goals,Paid,No
T00037,2026-04-12,C0006,D0008,S003,,675.0,180.33,494.67,0.0,1.08,21.9,5,Moderate Progress,Paid,Yes
T00038,2025-12-04,C0006,D0007,S013,,125.0,42.11,82.89,0.0,12.31,20.2,5,Excellent Progress,Paid,No
T00039,2026-01-11,C0006,D0008,S007,,42.75,12.98,29.77,0.05,0.9,20.3,5,Excellent Progress,Paid,No
T00040,2026-05-23,C0007,D0011,S004,M008,28.5,10.28,18.22,0.05,0.77,20.8,5,Excellent Progress,Pending,Yes
T00041,2026-05-08,C0007,D0011,S005,M008,40.5,16.33,24.17,0.1,1.08,20.2,5,Completed Goals,Paid,Yes
T00042,2025-09-05,C0007,D0009,S004,M008,30.0,11.11,18.89,0.0,0.82,15.3,5,Completed Goals,Pending,Yes
T00043,2025-08-27,C0007,D0010,S001,M008,112.5,35.65,76.85,0.1,1.26,17.1,5,Excellent Progress,Paid,Yes
T00044,2026-04-25,C0007,D0009,S010,M008,18.0,9.8,8.2,0.1,0.44,16.7,5,Completed Goals,Paid,Yes
T00045,2025-12-13,C0007,D0010,S004,M008,30.0,14.61,15.39,0.0,0.8,18.5,5,Excellent Progress,Paid,No
T00046,2026-01-31,C0007,D0010,S001,M008,112.5,37.66,74.84,0.1,1.35,18.0,5,Excellent Progress,Pending,Yes
T00047,2026-05-17,C0007,D0011,S004,M008,30.0,9.24,20.76,0.0,0.69,17.1,5,Excellent Progress,Pending,No
T00048,2026-04-06,C0008,D0012,S004,M008,30.0,9.4,20.6,0.0,0.9,22.8,5,Moderate Progress,Paid,Yes
T00049,2026-01-13,C0008,D0012,S011,M008,27.0,9.12,17.88,0.1,0.64,22.6,5,Excellent Progress,Pending,Yes
T00050,2026-05-12,C0008,D0012,S007,M008,40.5,18.78,21.72,0.1,0.8,27.8,5,Excellent Progress,Paid,No
T00051,2026-03-26,C0009,D0013,S007,M008,45.0,15.01,29.99,0.0,0.55,6.0,5,Excellent Progress,Pending,No
T00052,2025-11-16,C0009,D0013,S005,M008,40.5,13.06,27.44,0.1,1.15,7.8,5,Completed Goals,Paid,No
T00053,2026-05-08,C0009,D0013,S011,M008,30.0,10.19,19.81,0.0,0.62,7.8,5,Excellent Progress,Paid,No
T00054,2025-05-22,C0009,D0013,S001,M008,125.0,40.94,84.06,0.0,1.28,9.4,5,Completed Goals,Paid,No
T00055,2025-07-20,C0009,D0013,S002,M008,320.62,92.98,227.64,0.1,1.21,10.3,5,Excellent Progress,Paid,No
T00056,2025-10-10,C0010,D0014,S008,,76.5,22.03,54.47,0.1,1.13,23.6,5,Excellent Progress,Pending,No
T00057,2025-11-09,C0011,D0015,S007,M008,45.0,13.84,31.16,0.0,0.85,25.7,5,Excellent Progress,Pending,No
T00058,2025-12-26,C0011,D0015,S004,M008,30.0,12.13,17.87,0.0,0.79,24.0,5,Completed Goals,Paid,Yes
T00059,2025-07-15,C0011,D0015,S005,M008,42.75,16.45,26.3,0.05,1.04,26.7,5,Needs Follow-Up,Paid,No
T00060,2025-12-22,C0011,D0015,S002,M008,356.25,96.66,259.59,0.0,1.22,23.1,5,Excellent Progress,Paid,No
T00061,2026-05-04,C0011,D0015,S006,M008,54.0,19.96,34.04,0.1,1.33,23.3,5,Completed Goals,Paid,Yes
T00062,2026-01-14,C0011,D0015,S007,M008,40.5,17.43,23.07,0.1,0.84,24.4,5,Moderate Progress,Pending,No
T00063,2025-06-27,C0011,D0015,S015,M008,30.0,12.12,17.88,0.0,0.56,23.6,5,Moderate Progress,Paid,No
T00064,2026-03-03,C0011,D0015,S011,M008,27.0,8.16,18.84,0.1,0.6,23.2,5,Completed Goals,Pending,No
T00065,2026-04-29,C0012,D0017,S002,M004,356.25,94.01,262.24,0.0,1.38,13.3,5,Moderate Progress,Paid,Yes
T00066,2026-05-19,C0012,D0018,S015,M004,30.0,10.91,19.09,0.0,0.6,10.3,5,Completed Goals,Paid,No
T00067,2026-03-04,C0012,D0018,S007,M004,42.75,12.53,30.22,0.05,0.83,15.3,5,Excellent Progress,Paid,Yes
T00068,2026-01-29,C0012,D0018,S004,M004,30.0,11.21,18.79,0.0,0.78,12.0,5,Completed Goals,Paid,No
T00069,2026-03-11,C0012,D0017,S006,M004,60.0,16.91,43.09,0.0,1.35,15.5,5,Moderate Progress,Paid,Yes
T00070,2025-07-08,C0013,D0020,S013,,118.75,38.0,80.75,0.05,12.39,8.6,5,Excellent Progress,Paid,No
T00071,2025-12-19,C0014,D0021,S013,,125.0,38.58,86.42,0.0,12.28,11.7,5,Completed Goals,Paid,Yes
T00072,2026-05-25,C0014,D0021,S008,,85.0,22.55,62.45,0.0,1.26,10.6,5,Excellent Progress,Paid,No
T00073,2026-03-14,C0014,D0021,S015,,28.5,6.5,22.0,0.05,0.68,12.3,5,Completed Goals,Paid,No
T00074,2025-12-30,C0014,D0021,S005,,45.0,12.06,32.94,0.0,1.03,10.0,5,Excellent Progress,Paid,Yes
T00075,2026-03-19,C0014,D0021,S008,,85.0,22.98,62.02,0.0,1.09,12.3,5,Excellent Progress,Paid,No
T00076,2025-12-17,C0014,D0021,S004,,27.0,13.05,13.95,0.1,0.65,14.0,5,Completed Goals,Paid,No
T00077,2026-04-05,C0014,D0021,S006,,57.0,16.38,40.62,0.05,1.36,14.1,5,Excellent Progress,Paid,No
T00078,2025-11-29,C0014,D0021,S006,,54.0,22.03,31.97,0.1,1.25,9.4,5,Excellent Progress,Paid,No
T00079,2025-11-29,C0014,D0021,S007,,40.5,12.42,28.08,0.1,0.83,10.5,5,Excellent Progress,Paid,Yes
T00080,2025-12-17,C0014,D0021,S009,,94.5,28.55,65.95,0.1,1.87,14.3,5,Completed Goals,Pending,No
T00081,2026-03-17,C0014,D0021,S004,,30.0,14.47,15.53,0.0,0.59,11.4,5,Completed Goals,Paid,No
T00082,2025-12-31,C0014,D0021,S001,,125.0,38.47,86.53,0.0,1.17,10.6,5,Moderate Progress,Paid,Yes
T00083,2026-04-08,C0015,D0022,S013,M004,125.0,40.35,84.65,0.0,12.2,13.4,5,Completed Goals,Paid,Yes
T00084,2025-10-17,C0015,D0022,S006,M004,54.0,17.1,36.9,0.1,1.32,16.3,5,Excellent Progress,Paid,No
T00085,2026-01-31,C0015,D0022,S003,M004,641.25,186.44,454.81,0.05,1.11,16.9,5,Completed Goals,Paid,No
T00086,2026-05-25,C0015,D0022,S003,M004,675.0,185.78,489.22,0.0,1.25,10.1,5,Moderate Progress,Pending,Yes
T00087,2025-10-20,C0015,D0022,S014,M004,65.0,25.41,39.59,0.0,6.16,9.9,5,Excellent Progress,Pending,No
T00088,2025-12-04,C0015,D0022,S010,M004,20.0,8.45,11.55,0.0,0.65,10.7,5,Moderate Progress,Paid,No
T00089,2025-10-09,C0015,D0022,S013,M004,112.5,40.42,72.08,0.1,12.34,16.2,5,Needs Follow-Up,Paid,No
T00090,2025-12-02,C0015,D0022,S002,M004,338.44,96.73,241.71,0.05,1.39,10.3,5,Completed Goals,Pending,No
T00091,2026-03-29,C0016,D0023,S005,,40.5,12.93,27.57,0.1,1.09,7.5,5,Excellent Progress,Paid,No
T00092,2026-05-21,C0016,D0024,S004,,28.5,13.15,15.35,0.05,0.66,9.1,5,Completed Goals,Pending,No
T00093,2025-06-04,C0016,D0024,S002,M003,338.44,92.2,246.24,0.05,1.09,9.8,5,Moderate Progress,Paid,Yes
T00094,2026-04-29,C0016,D0024,S001,,112.5,35.28,77.22,0.1,1.34,9.6,5,Completed Goals,Paid,No
T00095,2026-02-21,C0016,D0024,S006,,60.0,17.22,42.78,0.0,1.38,13.8,5,Excellent Progress,Paid,Yes
T00096,2025-05-24,C0017,D0025,S011,M002,30.0,13.88,16.12,0.0,0.6,21.1,5,Excellent Progress,Pending,No
T00097,2025-04-30,C0017,D0025,S013,M002,125.0,39.38,85.62,0.0,12.28,21.0,5,Completed Goals,Paid,No
T00098,2026-04-06,C0018,D0027,S001,M008,118.75,35.21,83.54,0.05,1.29,8.3,5,Completed Goals,Paid,Yes
T00099,2025-12-31,C0018,D0027,S001,M008,118.75,37.88,80.87,0.05,1.24,7.4,5,Completed Goals,Pending,Yes
T00100,2025-09-06,C0018,D0027,S008,M008,85.0,27.47,57.53,0.0,1.17,11.5,5,Completed Goals,Paid,No
T00101,2026-01-18,C0018,D0026,S001,M008,118.75,38.71,80.04,0.05,1.32,14.9,5,Needs Follow-Up,Paid,No
T00102,2025-09-25,C0018,D0026,S011,M008,27.0,12.58,14.42,0.1,0.67,13.6,5,Moderate Progress,Paid,No
T00103,2026-02-24,C0018,D0026,S009,M008,94.5,33.86,60.64,0.1,1.83,14.7,5,Excellent Progress,Paid,No
T00104,2025-12-18,C0018,D0026,S003,M008,607.5,183.35,424.15,0.1,1.17,11.8,5,Moderate Progress,Paid,Yes
T00105,2025-11-08,C0018,D0026,S001,M008,112.5,41.02,71.48,0.1,1.39,9.9,5,Needs Follow-Up,Paid,No
T00106,2025-11-16,C0018,D0027,S004,M008,28.5,9.22,19.28,0.05,0.89,12.5,5,Moderate Progress,Pending,No
T00107,2026-01-25,C0018,D0026,S005,M008,45.0,18.64,26.36,0.0,1.13,10.1,5,Needs Follow-Up,Paid,No
T00108,2025-12-19,C0018,D0026,S013,M008,118.75,38.98,79.77,0.05,12.31,8.8,5,Needs Follow-Up,Paid,Yes
T00109,2025-12-13,C0018,D0026,S001,M008,125.0,37.45,87.55,0.0,1.33,12.7,5,Completed Goals,Paid,No
T00110,2026-03-09,C0018,D0027,S006,M008,54.0,21.8,32.2,0.1,1.33,11.6,5,Moderate Progress,Paid,No
T00111,2026-02-07,C0018,D0027,S004,M008,27.0,9.19,17.81,0.1,0.68,12.8,5,Excellent Progress,Paid,Yes
T00112,2026-04-05,C0018,D0026,S009,M008,94.5,29.1,65.4,0.1,1.59,8.6,5,Completed Goals,Paid,No
T00113,2025-09-22,C0018,D0027,S003,M008,607.5,183.85,423.65,0.1,1.22,7.4,5,Completed Goals,Paid,Yes
T00114,2025-11-23,C0018,D0027,S001,M008,125.0,38.31,86.69,0.0,1.09,13.2,5,Excellent Progress,Paid,No
T00115,2025-11-30,C0018,D0027,S007,M008,42.75,15.12,27.63,0.05,0.64,10.7,5,Completed Goals,Paid,No
T00116,2026-02-17,C0019,D0028,S004,M004,27.0,8.43,18.57,0.1,0.69,18.7,5,Needs Follow-Up,Pending,No
T00117,2025-09-07,C0020,D0031,S001,,112.5,41.3,71.2,0.1,1.33,9.4,5,Excellent Progress,Paid,Yes
T00118,2025-11-14,C0020,D0029,S014,,65.0,20.88,44.12,0.0,6.2,11.9,5,Excellent Progress,Paid,No
T00119,2025-09-24,C0020,D0029,S004,,28.5,11.86,16.64,0.05,0.85,8.1,5,Moderate Progress,Pending,Yes
T00120,2025-11-05,C0020,D0029,S001,,112.5,39.12,73.38,0.1,1.32,11.5,5,Needs Follow-Up,Paid,No
T00121,2026-05-19,C0021,D0033,S013,M008,125.0,40.68,84.32,0.0,12.22,26.4,5,Completed Goals,Pending,Yes
T00122,2026-05-25,C0021,D0033,S001,M008,125.0,35.35,89.65,0.0,1.22,23.7,5,Excellent Progress,Paid,No
T00123,2026-05-09,C0021,D0032,S012,M008,54.0,20.82,33.18,0.1,1.21,28.1,5,Completed Goals,Paid,Yes
T00124,2026-04-21,C0021,D0033,S002,M008,338.44,95.32,243.12,0.05,1.35,28.1,5,Excellent Progress,Pending,No
T00125,2026-05-05,C0021,D0032,S001,M008,125.0,36.35,88.65,0.0,1.34,28.2,5,Completed Goals,Paid,No
T00126,2025-10-19,C0021,D0033,S004,M008,30.0,9.69,20.31,0.0,0.72,25.1,5,Needs Follow-Up,Paid,No
T00127,2025-07-06,C0021,D0032,S011,M008,27.0,7.35,19.65,0.1,0.85,27.8,5,Completed Goals,Paid,No
T00128,2025-11-13,C0021,D0032,S008,M008,85.0,22.93,62.07,0.0,1.11,27.9,5,Completed Goals,Paid,Yes
T00129,2026-05-06,C0021,D0033,S013,M008,118.75,39.76,78.99,0.05,12.21,26.9,5,Moderate Progress,Paid,No
T00130,2025-12-25,C0021,D0033,S007,M008,45.0,15.37,29.63,0.0,0.67,23.7,5,Completed Goals,Paid,No
T00131,2025-06-27,C0021,D0032,S006,M008,54.0,18.24,35.76,0.1,1.1,21.7,5,Excellent Progress,Paid,Yes
T00132,2025-12-19,C0021,D0032,S010,M008,20.0,6.56,13.44,0.0,0.57,27.8,5,Moderate Progress,Paid,No
T00133,2026-04-30,C0022,D0034,S006,,54.0,17.28,36.72,0.1,1.29,11.9,5,Completed Goals,Paid,Yes
T00134,2026-03-09,C0022,D0034,S011,,30.0,10.25,19.75,0.0,0.59,9.6,5,Excellent Progress,Pending,No
T00135,2026-02-19,C0022,D0034,S006,,57.0,18.89,38.11,0.05,1.35,10.4,5,Needs Follow-Up,Pending,Yes
T00136,2025-05-30,C0023,D0035,S012,M008,57.0,20.91,36.09,0.05,1.16,21.8,5,Excellent Progress,Pending,No
T00137,2026-03-24,C0023,D0035,S006,M008,60.0,20.43,39.57,0.0,1.19,29.1,5,Excellent Progress,Paid,No
T00138,2025-11-08,C0024,D0036,S010,M007,20.0,9.39,10.61,0.0,0.47,14.7,5,Completed Goals,Pending,No
T00139,2026-04-07,C0024,D0036,S002,M007,356.25,96.64,259.61,0.0,1.21,13.3,5,Excellent Progress,Paid,No
T00140,2025-05-17,C0024,D0036,S004,M007,27.0,9.57,17.43,0.1,0.89,10.9,5,Completed Goals,Paid,No
T00141,2026-01-03,C0024,D0036,S005,M007,40.5,16.16,24.34,0.1,0.82,10.0,5,Moderate Progress,Paid,Yes
T00142,2025-11-17,C0024,D0036,S005,M007,42.75,13.44,29.31,0.05,1.04,9.3,5,Excellent Progress,Pending,No
T00143,2026-05-16,C0024,D0036,S005,M007,40.5,12.82,27.68,0.1,0.84,10.0,5,Completed Goals,Pending,No
T00144,2025-09-07,C0024,D0036,S004,M007,27.0,11.47,15.53,0.1,0.62,16.6,5,Completed Goals,Paid,Yes
T00145,2025-03-28,C0024,D0036,S002,,356.25,96.33,259.92,0.0,1.28,12.8,5,Needs Follow-Up,Paid,Yes
T00146,2026-05-03,C0024,D0036,S011,M007,30.0,11.74,18.26,0.0,0.7,10.1,5,Moderate Progress,Paid,No
T00147,2026-05-13,C0024,D0036,S004,M007,27.0,13.13,13.87,0.1,0.68,11.9,5,Completed Goals,Paid,Yes
T00148,2025-10-12,C0024,D0036,S009,M007,94.5,32.87,61.63,0.1,1.57,16.7,5,Completed Goals,Pending,Yes
T00149,2025-08-23,C0024,D0036,S002,M007,320.62,90.2,230.42,0.1,1.29,15.9,5,Needs Follow-Up,Paid,No
T00150,2026-02-08,C0025,D0037,S001,,112.5,40.37,72.13,0.1,1.25,26.0,5,Needs Follow-Up,Paid,No
T00151,2025-10-19,C0025,D0037,S006,,60.0,20.65,39.35,0.0,1.27,22.7,5,Moderate Progress,Pending,No
T00152,2025-11-20,C0025,D0037,S001,,118.75,41.09,77.66,0.05,1.08,25.4,5,Completed Goals,Paid,No
T00153,2026-03-13,C0025,D0037,S003,,675.0,180.55,494.45,0.0,1.21,26.1,5,Completed Goals,Paid,Yes
T00154,2026-01-17,C0026,D0038,S001,M008,112.5,38.84,73.66,0.1,1.34,13.3,5,Needs Follow-Up,Pending,No
T00155,2026-03-24,C0026,D0039,S002,M008,356.25,92.54,263.71,0.0,1.07,8.7,5,Excellent Progress,Pending,No
T00156,2026-03-21,C0026,D0039,S006,M008,54.0,21.32,32.68,0.1,1.13,9.7,5,Moderate Progress,Paid,No
T00157,2025-10-15,C0026,D0038,S009,M008,94.5,33.02,61.48,0.1,1.8,7.8,5,Excellent Progress,Paid,No
T00158,2026-04-22,C0026,D0038,S005,M008,40.5,14.9,25.6,0.1,1.12,13.6,5,Excellent Progress,Paid,Yes
T00159,2026-02-10,C0026,D0038,S008,M008,76.5,27.15,49.35,0.1,1.24,10.4,5,Excellent Progress,Paid,No
T00160,2025-11-05,C0026,D0038,S010,M008,19.0,9.24,9.76,0.05,0.5,14.0,5,Excellent Progress,Paid,No
T00161,2025-12-30,C0026,D0039,S005,M008,42.75,12.97,29.78,0.05,1.01,14.0,5,Excellent Progress,Pending,No
T00162,2026-05-31,C0026,D0038,S010,M008,20.0,10.0,10.0,0.0,0.62,14.3,5,Completed Goals,Paid,No
T00163,2026-04-16,C0026,D0039,S009,M008,94.5,31.99,62.51,0.1,1.78,10.3,5,Excellent Progress,Paid,Yes
T00164,2026-02-14,C0026,D0038,S011,M008,30.0,7.37,22.63,0.0,0.57,9.1,5,Moderate Progress,Paid,No
T00165,2026-03-29,C0026,D0039,S012,M008,60.0,14.23,45.77,0.0,1.33,7.8,5,Moderate Progress,Paid,Yes
T00166,2026-04-22,C0026,D0039,S003,M008,675.0,186.49,488.51,0.0,1.19,14.6,5,Needs Follow-Up,Pending,Yes
T00167,2025-12-07,C0026,D0038,S001,M008,112.5,41.08,71.42,0.1,1.35,10.5,5,Completed Goals,Paid,No
T00168,2026-03-07,C0026,D0038,S007,M008,45.0,13.24,31.76,0.0,0.79,8.4,5,Completed Goals,Paid,No
T00169,2026-02-23,C0026,D0039,S005,M008,40.5,17.92,22.58,0.1,0.8,10.7,5,Moderate Progress,Paid,No
T00170,2026-03-13,C0026,D0039,S010,M008,19.0,8.85,10.15,0.05,0.41,12.6,5,Excellent Progress,Pending,No
T00171,2025-11-13,C0026,D0039,S011,M008,27.0,7.64,19.36,0.1,0.63,8.6,5,Completed Goals,Paid,Yes
T00172,2026-05-02,C0026,D0038,S015,M008,30.0,10.68,19.32,0.0,0.71,14.2,5,Excellent Progress,Paid,No
T00173,2026-04-25,C0026,D0038,S005,M008,42.75,17.07,25.68,0.05,0.81,11.1,5,Moderate Progress,Pending,Yes
T00174,2025-12-18,C0026,D0038,S006,M008,60.0,22.64,37.36,0.0,1.11,14.6,5,Excellent Progress,Paid,No
T00175,2026-05-01,C0027,D0040,S010,,20.0,10.8,9.2,0.0,0.69,27.3,5,Excellent Progress,Paid,No
T00176,2026-03-24,C0027,D0040,S001,,125.0,35.61,89.39,0.0,1.07,27.7,5,Excellent Progress,Paid,No
T00177,2026-01-15,C0027,D0040,S005,,42.75,14.73,28.02,0.05,0.84,21.4,5,Excellent Progress,Pending,No
T00178,2025-10-10,C0027,D0040,S009,,94.5,33.51,60.99,0.1,1.66,22.0,5,Moderate Progress,Paid,No
T00179,2026-02-05,C0027,D0040,S006,,60.0,21.58,38.42,0.0,1.35,23.7,5,Excellent Progress,Paid,No
T00180,2025-11-29,C0028,D0041,S007,M006,45.0,14.76,30.24,0.0,0.74,15.2,5,Completed Goals,Paid,Yes
T00181,2026-03-09,C0028,D0041,S013,,125.0,39.29,85.71,0.0,12.27,16.5,5,Completed Goals,Pending,No
T00182,2026-03-18,C0028,D0041,S012,,54.0,18.7,35.3,0.1,1.14,16.1,5,Excellent Progress,Paid,No
T00183,2025-12-28,C0028,D0041,S008,M006,85.0,28.3,56.7,0.0,1.16,18.1,5,Excellent Progress,Pending,No
T00184,2026-01-02,C0029,D0042,S014,,65.0,21.72,43.28,0.0,6.13,5.9,5,Excellent Progress,Paid,No
T00185,2026-03-18,C0029,D0043,S013,,125.0,43.42,81.58,0.0,12.22,1.0,5,Excellent Progress,Paid,No
T00186,2026-01-09,C0029,D0043,S013,,125.0,43.09,81.91,0.0,12.36,6.8,5,Excellent Progress,Pending,Yes
T00187,2026-01-13,C0029,D0042,S010,,18.0,11.26,6.74,0.1,0.57,5.2,5,Completed Goals,Pending,No
T00188,2026-03-28,C0029,D0042,S001,,118.75,37.55,81.2,0.05,1.05,1.9,5,Needs Follow-Up,Paid,No
T00189,2025-12-30,C0029,D0042,S001,,112.5,41.64,70.86,0.1,1.28,7.7,5,Moderate Progress,Paid,Yes
T00190,2026-03-24,C0029,D0042,S003,,675.0,181.85,493.15,0.0,1.13,5.3,5,Excellent Progress,Paid,No
T00191,2025-12-01,C0029,D0042,S013,,125.0,38.72,86.28,0.0,12.39,5.1,5,Completed Goals,Pending,No
T00192,2026-02-26,C0030,D0044,S005,,40.5,18.81,21.69,0.1,0.88,24.6,5,Moderate Progress,Paid,No
T00193,2025-07-12,C0030,D0044,S006,,60.0,19.6,40.4,0.0,1.15,22.5,5,Completed Goals,Paid,No
T00194,2025-10-18,C0030,D0044,S005,,42.75,15.35,27.4,0.05,1.01,26.5,5,Excellent Progress,Paid,No
T00195,2026-03-15,C0031,D0045,S006,M004,54.0,22.46,31.54,0.1,1.23,24.8,5,Needs Follow-Up,Paid,No
T00196,2026-02-17,C0031,D0045,S005,M004,45.0,14.88,30.12,0.0,0.85,26.2,5,Moderate Progress,Paid,No
T00197,2025-03-26,C0032,D0046,S008,M001,80.75,22.76,57.99,0.05,1.12,13.8,5,Excellent Progress,Pending,No
T00198,2026-05-26,C0032,D0046,S002,,320.62,93.52,227.1,0.1,1.09,10.8,5,Completed Goals,Paid,No
T00199,2025-11-13,C0032,D0047,S008,M006,85.0,26.88,58.12,0.0,1.2,14.4,5,Excellent Progress,Pending,No
T00200,2025-06-29,C0032,D0047,S005,,45.0,12.59,32.41,0.0,1.01,11.3,5,Completed Goals,Paid,No
